character,G_x,G_y,M,Euclid
亜,247,259,38507,9.486832980505138
哀,248,257,34753,7.280109889280518
挨,245,262,38979,13.0
愛,249,247,41119,3.1622776601683795
曖,244,246,44241,7.211102550927978
悪,246,247,40503,5.0
握,254,254,45148,5.656854249492381
圧,241,250,29513,9.0
扱,246,255,38230,6.4031242374328485
宛,260,256,37171,11.661903789690601
嵐,252,268,40460,18.110770276274835
安,248,249,32956,2.23606797749979
案,248,247,38405,3.605551275463989
暗,242,249,40059,8.06225774829855
以,248,261,23868,11.180339887498949
衣,247,259,30289,9.486832980505138
位,246,261,32070,11.704699910719626
囲,247,241,44572,9.486832980505138
医,226,246,36863,24.331050121192877
依,246,256,34603,7.211102550927978
委,253,254,37952,5.0
威,261,261,39989,15.556349186104045
為,268,259,35661,20.12461179749811
畏,244,238,40058,13.416407864998739
胃,254,225,39065,25.317977802344327
尉,246,251,39662,4.123105625617661
異,248,234,37930,16.1245154965971
移,253,238,36096,12.36931687685298
萎,251,253,41928,3.1622776601683795
偉,258,246,41054,8.94427190999916
椅,251,248,38370,2.23606797749979
彙,248,253,44620,3.605551275463989
意,250,261,38442,11.0
違,256,263,41578,14.317821063276353
維,244,258,45307,10.0
慰,247,250,40613,3.0
遺,259,261,45282,14.212670403551895
緯,248,251,46026,2.23606797749979
域,265,255,37785,15.811388300841896
育,251,245,36440,5.0990195135927845
一,251,251,8522,1.4142135623730951
壱,253,258,35182,8.54400374531753
逸,253,268,40553,18.24828759089466
茨,254,240,31076,10.770329614269007
芋,246,226,28742,24.331050121192877
引,256,242,25875,10.0
印,245,233,30560,17.72004514666935
因,247,240,38582,10.44030650891055
咽,268,235,40546,23.430749027719962
姻,269,241,43467,21.02379604162864
員,254,243,36637,8.06225774829855
院,232,244,39422,18.973665961010276
淫,263,265,33859,19.849433241279208
陰,233,257,40548,18.384776310850235
飲,234,254,38575,16.492422502470642
隠,238,249,41839,12.041594578792296
韻,254,253,48219,5.0
右,250,262,28073,12.0
宇,247,227,29155,23.194827009486403
羽,277,233,32594,31.906112267087632
雨,254,239,38055,11.704699910719626
唄,263,230,37328,23.853720883753127
鬱,246,246,47644,5.656854249492381
畝,229,260,37068,23.259406699226016
浦,274,256,40873,24.73863375370596
運,259,249,44889,9.055385138137417
雲,244,241,40704,10.816653826391969
永,249,262,28969,12.041594578792296
泳,245,259,32476,10.295630140987
英,251,250,35447,1.0
映,235,255,38700,15.811388300841896
栄,251,240,33881,10.04987562112089
営,248,246,38858,4.47213595499958
詠,240,258,38308,12.806248474865697
影,238,241,39284,15.0
鋭,247,257,41919,7.615773105863909
衛,251,248,41865,2.23606797749979
易,267,237,34351,21.400934559032695
疫,252,255,37238,5.385164807134504
益,252,288,36882,38.05259518088089
液,253,255,36260,5.830951894845301
駅,223,235,43069,30.886890422961002
悦,244,254,37518,7.211102550927978
越,255,264,43074,14.866068747318506
謁,265,244,45967,16.15549442140351
閲,253,234,44759,16.278820596099706
円,256,225,31331,25.709920264364882
