character,G_x,G_y,M,Euclid
亜,251,250,62784,1.0
哀,248,255,54465,5.385164807134504
挨,250,252,57167,2.0
愛,242,250,64502,8.0
曖,238,245,64173,13.0
悪,248,239,61360,11.180339887498949
握,254,250,70224,4.0
圧,240,252,45141,10.198039027185569
扱,251,253,58828,3.1622776601683795
宛,251,251,54398,1.4142135623730951
嵐,248,258,61337,8.246211251235321
安,247,249,50035,3.1622776601683795
案,248,249,63290,2.23606797749979
暗,240,252,63427,10.198039027185569
以,251,264,37251,14.035668847618199
衣,249,257,48331,7.0710678118654755
位,247,264,48808,14.317821063276353
囲,248,244,65838,6.324555320336759
医,230,244,59867,20.8806130178211
依,244,258,55261,10.0
委,249,249,61315,1.4142135623730951
威,251,259,62468,9.055385138137417
為,260,257,52522,12.206555615733702
畏,248,239,61106,11.180339887498949
胃,249,224,60144,26.019223662515376
尉,242,246,57169,8.94427190999916
異,250,238,64733,12.0
移,237,245,56874,13.92838827718412
萎,245,249,70510,5.0990195135927845
偉,256,250,61580,6.0
椅,254,244,61359,7.211102550927978
彙,246,260,62232,10.770329614269007
意,247,252,57322,3.605551275463989
違,264,264,60527,19.79898987322333
維,247,257,67915,7.615773105863909
慰,243,245,58653,8.602325267042627
遺,266,261,62253,19.4164878389476
緯,250,254,63932,4.0
域,261,251,60523,11.045361017187261
育,251,239,55916,11.045361017187261
一,249,250,12492,1.0
壱,250,242,52492,8.0
逸,256,261,57618,12.529964086141668
茨,255,243,52538,8.602325267042627
芋,247,216,44197,34.132096331752024
引,260,238,39192,15.620499351813308
印,245,239,46923,12.083045973594572
因,248,244,59838,6.324555320336759
咽,259,239,66609,14.212670403551895
姻,261,251,71816,11.045361017187261
員,249,248,61038,2.23606797749979
院,232,246,61254,18.439088914585774
淫,266,259,51132,18.35755975068582
陰,234,252,67646,16.1245154965971
飲,235,252,59625,15.132745950421556
隠,236,248,67319,14.142135623730951
韻,246,251,71931,4.123105625617661
右,251,263,47873,13.038404810405298
宇,249,224,42024,26.019223662515376
羽,273,231,49021,29.832867780352597
雨,250,230,54717,20.0
唄,248,230,55940,20.09975124224178
鬱,242,248,68838,8.246211251235321
畝,227,261,57137,25.495097567963924
浦,276,252,61098,26.076809620810597
