character,G_x,G_y,M,Euclid
亜,254,262,35893,12.649110640673518
哀,254,262,29264,12.649110640673518
挨,239,250,35407,11.0
愛,257,249,37570,7.0710678118654755
曖,240,245,44505,11.180339887498949
悪,253,256,38684,6.708203932499369
握,242,252,41041,8.246211251235321
圧,234,246,24879,16.492422502470642
扱,238,252,38352,12.165525060596439
宛,261,256,33980,12.529964086141668
嵐,250,265,39210,15.0
安,250,254,28716,4.0
案,254,254,35718,5.656854249492381
暗,228,247,38027,22.20360331117452
以,247,256,25615,6.708203932499369
衣,252,258,25858,8.246211251235321
位,236,254,28505,14.560219778561036
囲,245,245,40745,7.0710678118654755
医,219,248,32189,31.064449134018133
依,243,255,33729,8.602325267042627
委,264,250,33229,14.0
威,258,256,37098,10.0
為,269,261,29798,21.95449840010015
畏,251,245,34169,5.0990195135927845
胃,246,234,32545,16.492422502470642
尉,248,249,36836,2.23606797749979
異,255,238,33568,13.0
移,242,237,34896,15.264337522473747
萎,260,246,36263,10.770329614269007
偉,248,247,36782,3.605551275463989
椅,251,247,36942,3.1622776601683795
彙,252,259,39534,9.219544457292887
意,255,266,33297,16.76305461424021
違,259,268,38657,20.12461179749811
維,242,252,42358,8.246211251235321
慰,242,251,36262,8.06225774829855
遺,262,263,40963,17.69180601295413
緯,243,250,41162,7.0
域,261,252,37571,11.180339887498949
育,250,241,30349,9.0
一,284,261,4408,35.73513677041127
壱,256,264,29117,15.231546211727817
逸,261,269,39880,21.95449840010015
茨,261,240,29015,14.866068747318506
芋,259,221,23528,30.364452901377952
引,261,248,25123,11.180339887498949
印,243,246,31705,8.06225774829855
因,250,249,35050,1.0
咽,254,237,42000,13.601470508735444
姻,263,247,43817,13.341664064126334
員,263,248,30223,13.152946437965905
院,227,251,36773,23.021728866442675
淫,256,255,30934,7.810249675906654
陰,223,255,36791,27.459060435491963
飲,231,248,37018,19.1049731745428
隠,234,250,39737,16.0
韻,256,250,41166,6.0
右,248,263,23259,13.152946437965905
宇,252,231,21856,19.1049731745428
羽,276,247,32524,26.1725046566048
雨,252,258,35770,8.246211251235321
唄,245,233,36407,17.72004514666935
鬱,244,242,45823,10.0
畝,232,256,37742,18.973665961010276
浦,257,257,38533,9.899494936611665
運,265,261,41056,18.601075237738275
雲,249,249,33436,1.4142135623730951
永,256,268,25808,18.973665961010276
泳,243,263,30193,14.7648230602334
英,259,241,30988,12.727922061357855
映,225,244,37505,25.709920264364882
栄,257,244,29491,9.219544457292887
営,246,246,30703,5.656854249492381
詠,243,266,35005,17.46424919657298
影,234,243,35083,17.46424919657298
鋭,251,257,40528,7.0710678118654755
衛,250,252,40140,2.0
易,268,252,30486,18.110770276274835
疫,247,252,35008,3.605551275463989
益,257,282,33436,32.7566787083184
液,248,257,35112,7.280109889280518
駅,234,241,39625,18.35755975068582
悦,249,250,36254,1.0
越,257,265,42685,16.55294535724685
謁,264,255,39354,14.866068747318506
閲,248,242,44391,8.246211251235321
円,246,233,27577,17.46424919657298
延,251,266,37290,16.0312195418814
沿,240,266,28810,18.867962264113206
炎,256,259,26881,10.816653826391969
怨,260,256,35179,11.661903789690601
宴,249,256,33502,6.082762530298219
媛,248,253,40629,3.605551275463989
援,250,254,40316,4.0
園,248,249,41743,2.23606797749979
煙,254,240,39682,10.770329614269007
猿,249,254,37884,4.123105625617661
遠,263,270,38115,23.853720883753127
鉛,236,263,35152,19.1049731745428
塩,246,272,38448,22.360679774997898
演,257,259,35969,11.40175425099138
縁,242,260,39400,12.806248474865697
艶,245,245,46582,7.0710678118654755
汚,256,246,27785,7.211102550927978
王,260,262,18540,15.620499351813308
凹,243,235,32843,16.55294535724685
央,257,250,26871,7.0
応,241,266,29863,18.35755975068582
往,238,256,28543,13.416407864998739
