character,G_x,G_y,M,Euclid
亜,249,247,45529,3.1622776601683795
哀,251,254,39157,4.123105625617661
挨,244,256,42124,8.48528137423857
愛,243,244,46685,9.219544457292887
曖,241,245,50984,10.295630140987
悪,248,236,47397,14.142135623730951
握,253,253,51341,4.242640687119285
圧,241,249,33917,9.055385138137417
扱,238,256,42850,13.416407864998739
宛,255,246,40085,6.4031242374328485
嵐,245,260,46730,11.180339887498949
安,243,245,36582,8.602325267042627
案,248,248,45340,2.8284271247461903
暗,239,253,46605,11.40175425099138
以,242,262,28963,14.422205101855956
衣,245,249,32624,5.0990195135927845
位,246,263,33603,13.601470508735444
囲,248,241,49121,9.219544457292887
医,230,243,44833,21.18962010041709
依,244,253,38355,6.708203932499369
委,245,250,43457,5.0
威,251,259,45164,9.055385138137417
為,262,258,37364,14.422205101855956
畏,248,237,44225,13.152946437965905
胃,252,227,45245,23.08679276123039
尉,240,248,43080,10.198039027185569
異,250,235,45613,15.0
移,243,240,41248,12.206555615733702
萎,246,248,48854,4.47213595499958
偉,257,247,45241,7.615773105863909
椅,254,243,44006,8.06225774829855
彙,247,255,51433,5.830951894845301
意,250,254,45393,4.0
違,261,265,46414,18.601075237738275
維,248,256,47243,6.324555320336759
慰,242,243,42957,10.63014581273465
遺,264,259,50300,16.64331697709324
緯,251,250,48089,1.0
域,262,252,42332,12.165525060596439
育,250,240,41260,10.0
一,249,250,9564,1.0
壱,250,249,38382,1.0
逸,258,268,42654,19.697715603592208
茨,254,237,36145,13.601470508735444
芋,248,223,32793,27.073972741361768
引,257,242,28665,10.63014581273465
印,246,238,34362,12.649110640673518
因,248,244,43963,6.324555320336759
咽,257,238,48475,13.892443989449804
姻,262,251,48560,12.041594578792296
員,250,242,45972,8.0
院,234,244,44983,17.08800749063506
淫,259,257,36031,11.40175425099138
陰,231,251,47279,19.026297590440446
飲,232,248,42316,18.110770276274835
隠,239,247,48409,11.40175425099138
韻,249,248,51446,2.23606797749979
右,247,262,32479,12.36931687685298
宇,247,226,30812,24.186773244895647
羽,273,237,36739,26.419689627245813
雨,252,232,43106,18.110770276274835
唄,241,233,44262,19.235384061671343
鬱,240,243,52203,12.206555615733702
畝,229,258,43942,22.47220505424423
浦,272,253,44598,22.20360331117452
運,264,251,48737,14.035668847618199
雲,248,237,47538,13.152946437965905
永,244,266,30017,17.08800749063506
泳,248,260,33006,10.198039027185569
英,248,242,40759,8.246211251235321
映,229,248,44260,21.095023109728988
栄,251,242,36894,8.06225774829855
営,249,249,42250,1.4142135623730951
詠,232,258,40143,19.697715603592208
影,225,242,42559,26.248809496813376
鋭,244,255,44911,7.810249675906654
衛,251,251,45412,1.4142135623730951
易,264,241,40816,16.64331697709324
疫,250,253,42760,3.0
益,250,277,44034,27.0
液,253,253,39839,4.242640687119285
駅,234,235,45978,21.93171219946131
悦,249,251,39535,1.4142135623730951
越,254,262,47774,12.649110640673518
謁,256,244,48691,8.48528137423857
閲,252,234,48624,16.1245154965971
円,254,219,34110,31.25699921617557
延,245,264,40080,14.866068747318506
沿,255,264,32685,14.866068747318506
炎,247,261,30660,11.40175425099138
怨,253,253,40158,4.242640687119285
宴,248,250,45585,2.0
媛,250,253,48058,3.0
援,250,253,48045,3.0
園,251,244,54853,6.082762530298219
煙,255,246,48810,6.4031242374328485
猿,250,253,48074,3.0
遠,262,263,44966,17.69180601295413
鉛,241,259,41875,12.727922061357855
塩,255,269,44674,19.6468827043885
演,267,250,43172,17.0
縁,244,252,48918,6.324555320336759
艶,241,249,54427,9.055385138137417
汚,264,232,32221,22.80350850198276
王,249,251,29189,1.4142135623730951
凹,249,239,36658,11.045361017187261
央,250,254,34046,4.0
応,240,261,34862,14.866068747318506
往,246,261,34350,11.704699910719626
押,259,228,42502,23.769728648009426
旺,226,247,39897,24.186773244895647
欧,224,250,41752,26.0
殴,229,245,46062,21.587033144922902
桜,245,253,40516,5.830951894845301
翁,256,260,41433,11.661903789690601
奥,248,255,44758,5.385164807134504
横,258,242,50785,11.313708498984761
岡,253,234,43940,16.278820596099706
屋,251,250,48160,1.0
億,257,250,47828,7.0
憶,256,247,47888,6.708203932499369
臆,245,251,52350,5.0990195135927845
虞,258,257,49716,10.63014581273465
乙,237,253,24238,13.341664064126334
俺,257,249,47178,7.0710678118654755
卸,251,245,41559,5.0990195135927845
音,248,253,40752,3.605551275463989
恩,249,241,41967,9.055385138137417
温,259,261,43534,14.212670403551895
穏,251,248,47418,2.23606797749979
下,260,184,20691,66.75327707311455
化,246,260,29676,10.770329614269007
火,249,266,24425,16.0312195418814
加,266,263,38143,20.615528128088304
可,258,218,30961,32.984845004941285
仮,243,255,40052,8.602325267042627
何,257,240,36529,12.206555615733702
花,255,243,33634,8.602325267042627
佳,253,259,38631,9.486832980505138
価,261,256,47488,12.529964086141668
果,249,233,44038,17.029386365926403
河,266,234,34478,22.627416997969522
苛,250,234,37589,16.0
科,245,240,35783,11.180339887498949
架,250,247,40800,3.0
夏,244,241,48745,10.816653826391969
家,243,245,41521,8.602325267042627
荷,254,239,40458,11.704699910719626
華,250,235,46652,15.0
菓,248,242,47644,8.246211251235321
貨,254,254,42989,5.656854249492381
渦,271,248,42585,21.095023109728988
過,266,258,44521,17.88854381999832
嫁,249,249,46093,1.4142135623730951
暇,235,238,49138,19.209372712298546
禍,267,250,46519,17.0
靴,234,246,46337,16.492422502470642
寡,248,246,51383,4.47213595499958
歌,236,246,45019,14.560219778561036
箇,250,252,48050,2.0
稼,247,244,46799,6.708203932499369
課,249,239,49122,11.045361017187261
蚊,233,254,41231,17.46424919657298
牙,252,228,31901,22.090722034374522
